Simga,Rajim,Rampur,Andhiyarkhore,Ghatora,Bamnidhi,Kurubhata,Kelo,Sundargarh,Paramanpur,Basantpur,Hirakud,Mean_areal_rainfall_upper
1.49,2.809,0.0,6.4,0.31,27.73,1.764,0.0,2.41,0.0,34.09,0.0,33.46617594936711
205.3,2.7,0.0,2.53,0.273,55.04,3.0,0.0,349.283,0.0,49.66,0.0,21.218282278481016
204.2,2.9,0.0,6.779,0.297,79.82,2.192,0.0,2400.0,0.0,95.21,495.147,28.409027848101267
64.17,3.087,0.0,3.0,0.263,210.1,2.192,12.52,1502.829,0.0,244.0,4716.72,32.87363987341773
36.0,2.75,0.0,1.8,0.253,145.1,3.528,65.0,6341.0,0.0,320.0,7056.1,18.019775316455696
29.84,2.649,0.0,1.492,0.2,110.14,30.73,13.64,993.839,0.0,200.22,6976.55,3.3630721518987334
15.46,2.735,0.0,1.085,0.231,60.85,1055.0,8.204,389.728,0.0,150.0,1958.92,1.0889322784810127
13.79,2.735,0.0,0.897,0.221,42.7,700.0,4.938,173.636,0.0,700.0,980.268,2.6254936708860765
12.02,2.4,0.0,0.85,0.228,49.69,1200.0,4.107,170.0,0.0,650.0,609.928,2.2414860759493673
11.6,2.44,0.0,0.8,0.233,58.57,466.9,1.95,260.1,0.0,600.0,484.952,6.06088164556962
16.18,2.649,0.0,0.8,0.21,60.69,190.6,1.686,156.0,0.0,620.0,402.201,6.9413126582278455
12.0,2.5,0.0,0.88,0.235,27.5,117.8,15.0,194.0,0.0,600.0,340.265,2.19176835443038
7.74,3.924,0.0,0.86,0.24,26.35,64.89,5.857,123.3,0.0,58.61,479.514,3.143410759493671
7.66,3.646,0.0,0.989,0.253,52.86,118.4,6.889,87.63,0.0,60.58,408.148,3.270662025316454
7.36,3.202,0.0,0.992,0.199,27.71,97.58,2.545,97.08,0.0,58.2,381.272,6.442841139240504
7.17,4.425,0.0,0.974,0.207,52.15,150.0,3.822,178.0,0.0,58.31,279.717,5.25587974683544
7.36,4.49,0.0,1.94,0.179,29.13,122.3,2.507,168.0,0.0,137.8,263.036,7.6794594936708895
8.77,31.24,0.0,2.118,0.194,45.0,71.76,85.81,157.399,0.0,114.3,510.383,14.939362658227854
8.77,25.0,0.0,6.9,0.253,42.55,76.89,50.0,310.0,0.0,165.0,754.558,16.792079746835427
8.17,17.785,0.0,3.807,0.3,81.01,39.34,23.18,405.541,0.0,222.2,791.714,5.515828481012657
11.91,15.3,0.0,3.683,0.394,72.71,74.01,8.989,224.37,0.0,142.6,912.584,2.9829297468354423
10.63,11.088,4.419,2.826,0.31,67.02,53.84,5.658,132.07,0.0,147.8,947.162,2.195276582278481
8.82,6.58,3.951,2.337,0.212,41.1,120.0,7.087,74.731,0.0,141.3,413.982,6.039692405063289
21.93,5.406,3.507,2.729,0.234,49.25,139.2,199.9,281.845,0.0,133.4,258.052,11.647616455696207
27.03,7.966,7.8,3.0,0.217,45.2,96.11,83.29,350.526,0.0,201.4,712.248,12.788018354430381
26.43,15.0,5.0,3.0,0.379,66.2,73.18,50.42,315.0,0.0,174.0,1249.05,5.378602531645568
24.17,20.425,3.802,4.604,0.3,90.77,73.81,39.91,399.67,0.0,174.6,1164.97,3.2512987341772144
27.17,18.28,10.34,5.425,0.262,61.99,185.8,11.44,171.7,0.0,192.9,841.302,8.577346835443036
27.47,24.0,21.33,5.4,0.269,35.7,100.1,6.0,98.0,0.0,208.8,455.329,3.7032981012658226
80.59,45.17,9.749,4.775,0.328,34.82,75.0,6.321,83.122,0.0,220.8,393.62,3.9631487341772123
46.31,27.51,10.11,20.105,0.327,28.72,118.1,5.002,78.306,0.0,205.2,389.796,7.532117721518985
39.56,22.6,11.23,23.208,0.361,92.2,143.3,4.727,104.258,0.0,217.9,192.038,7.359196835443039
38.98,60.0,26.0,23.4,0.331,103.9,100.0,150.0,230.0,0.0,298.6,321.489,24.004277215189877
53.9,164.45,20.02,15.066,0.3,154.6,65.23,121.4,244.5,0.0,328.2,1792.8,26.78465696202533
91.54,157.9,25.05,6.35,0.314,275.5,54.66,175.1,498.214,0.0,700.0,2782.75,17.37977911392405
63.95,99.65,11.6,9.916,0.302,253.2,81.88,123.2,318.679,0.0,650.0,4289.12,14.600610759493668
37.38,29.96,5.298,5.368,0.264,170.9,75.0,78.77,504.313,0.0,480.0,2608.98,19.53558101265822
36.95,35.04,9.0,26.26,0.24,1700.7,246.6,469.0,5057.0,0.0,900.0,2621.19,55.341797468354436
59.93,95.0,12.0,47.2,0.214,1500.5,387.4,226.6,2009.0,0.0,3500.0,10535.0,22.550195569620247
163.89,60.0,9.7,21.0,0.188,373.0,307.8,118.0,550.0,0.0,2100.0,7788.08,3.2623632911392413
305.49,35.0,5.0,9.0,0.2,250.0,304.3,50.0,420.0,0.0,800.0,4149.76,2.7889993670886066
143.0,24.54,4.466,4.143,0.177,159.9,1625.0,32.2,218.13,0.0,600.0,2307.4,2.3856170886075954
87.84,23.04,3.95,2.711,0.221,87.77,801.7,32.96,150.438,0.0,500.0,1486.4,8.48752784810126
118.01,3466.15,3.711,2.775,30.63,960.3,450.0,88.95,426.0,0.0,470.6,1620.05,47.76045569620253
3563.52,3823.016,5.917,5.489,2.061,440.0,200.0,194.4,700.6,0.0,507.2,2767.37,24.24214873417722
3382.0,895.43,218.5,5.692,1.327,189.4,178.2,67.11,338.8,0.0,6300.0,3601.09,3.386130379746835
900.0,450.0,100.0,5.0,1.007,130.0,144.1,58.0,225.0,0.0,5300.0,7477.98,9.716429746835445
376.25,157.5,49.59,4.818,0.8,112.4,305.0,72.61,550.3,0.0,2300.0,6212.98,8.335741772151898
258.82,103.2,33.6,11.347,0.628,84.94,534.1,45.71,437.7,0.0,1100.0,4228.32,16.44570443037975
180.37,68.63,28.52,7.188,0.952,193.07,279.02,80.96,579.6,0.0,900.0,3356.15,5.1942993670886075
140.8,61.54,23.91,1.389,0.617,85.16,180.0,41.28,362.8,0.0,650.0,2988.24,2.033405063291139
121.64,45.56,18.48,1.451,0.559,76.2,305.8,30.46,189.9,0.0,559.9,1658.08,3.1766518987341756
98.69,65.391,46.84,1.206,0.5,84.84,300.5,75.79,197.9,0.0,517.9,1676.43,15.219866455696202
120.0,40.0,90.0,1.2,0.905,460.5,399.1,124.0,480.0,0.0,660.4,1788.44,7.401528481012661
135.6,195.086,58.48,9.468,0.6,220.2,295.9,44.77,319.812,0.0,655.0,2887.59,8.396558227848104
132.95,208.061,39.71,5.454,0.572,150.2,232.7,30.54,254.2,0.0,630.9,2340.02,3.8870917721519005
154.9,212.663,71.18,18.946,1.417,100.4,223.7,28.35,196.9,0.0,1000.0,1598.47,10.466860126582276
160.0,195.0,50.0,15.0,1.838,182.4,750.0,40.0,150.0,0.0,1200.0,1373.77,9.526874683544309
490.9,311.679,176.2,97.07,0.869,118.7,465.4,64.08,401.3,0.0,1300.0,1447.27,18.165534177215182
